pkTableName,pkFieldName,varType,notNullClause,pk,foreignKeyTable,foreignKeyField,on_update,on_delete,shinyPlaceholder,shinyInput,defaultValue,min,max,sortOrder,description
apps,pkAppName,VARCHAR(255),,1,,,,,,text,,,,,
apps,appDisplayName,VARCHAR(255),,0,,,,,,text,,,,,
apps,appDescription,TEXT,,0,,,,,,longtext,,,,,
apps,appVideoURL,VARCHAR(255),,0,,,,,,text,,,,,
apps,appCSS,VARCHAR(255),,0,,,,,,text,,,,,
apps,appNotes,TEXT,,0,,,,,,longtext,,,,,
apps,appActive,INTEGER,,0,,,,,,checkbox,1,0,1,,
apps,dateCreated,VARCHAR(255),,0,,,,,,date,,,,,
apps,fkParentAppName,VARCHAR(255),,0,apps,pkAppName,CASCADE,CASCADE,,foreignKey,,,,,
apps,appCitation,VARCHAR(255),,0,,,,,,text,,,,,
reports,pkReportName,VARCHAR(255),,1,,,,,,text,,,,,
reports,displayName,VARCHAR(255),,0,,,,,,text,,,,,
reports,reportDescription,TEXT,,0,,,,,,longtext,,,,,
appReports,fkAppName,VARCHAR(255),,1,apps,pkAppName,CASCADE,CASCADE,,foreignKey,,,,,
appReports,fkReportName,VARCHAR(255),,1,reports,pkReportName,CASCADE,CASCADE,,foreignKey,,,,,
appReports,notes,TEXT,,0,,,,,,longtext,,,,,
modules,pkModuleName,VARCHAR(255),,1,,,,,,text,,,,,
modules,modDisplayName,VARCHAR(255),,0,,,,,,text,,,,,
modules,modDescription,TEXT,,0,,,,,,longtext,,,,,
modules,modCitation,VARCHAR(255),,0,,,,,,text,,,,,
modules,modNotes,TEXT,,0,,,,,,longtext,,,,,
modules,modActive,INTEGER,,0,,,,,,checkbox,1,0,1,,
modules,dateCreated,VARCHAR(255),,0,,,,,,date,,,,,
modPackages,fkModuleName,VARCHAR(255),,1,modules,pkModuleName,CASCADE,CASCADE,,foreignKey,,,,,
modPackages,packageName,VARCHAR(255),,1,,,,,,text,,,,,
modPackages,version,VARCHAR(255),,0,,,,,,text,,,,,
modPackages,notes,text,,0,,,,,,longtext,,,,,
tabs,pkTabName,VARCHAR(255),,1,,,,,,text,,,,,
tabs,tabDisplayName,VARCHAR(255),,0,,,,,,text,,,,,
tabs,tabInstructions,TEXT,,0,,,,,,longtext,,,,,
tabs,tabNotes,text,,0,,,,,,longtext,,,,,
appTabs,fkTabName,VARCHAR(255),,1,tabs,pkTabName,CASCADE,CASCADE,,foreignKey,,,,,
appTabs,fkAppName,VARCHAR(255),,1,apps,pkAppName,CASCADE,CASCADE,,foreignKey,,,,,
appTabs,tabOrder,INTEGER,,0,,,,,,numeric,,,,,
tabModules,pkInstanceID,INTEGER,,1,,,,,,locked,,,,,
tabModules,fkTabName,VARCHAR(255),,0,tabs,pkTabName,CASCADE,CASCADE,,foreignKey,,,,,
tabModules,fkModuleName,VARCHAR(255),,0,modules,pkModuleName,CASCADE,RESTRICT,,foreignKey,,,,,
tabModules,modOrder,INTEGER,,0,,,,,,numeric,,,,,
modFunctionArguments,pkModArgID,INTEGER,,1,,,,,,locked,,,,,
modFunctionArguments,fkModuleName,VARCHAR(255),,0,modules,pkModuleName,CASCADE,CASCADE,,foreignKey,,,,,
modFunctionArguments,functionArgName,VARCHAR(255),,0,,,,,,text,,,,,
modFunctionArguments,functionArgClass,VARCHAR(255),,0,,,,,,text,,,,,
modFunctionArguments,description,TEXT,,0,,,,,,longtext,,,,,
modFunctionReturns,pkModReturnID,INTEGER,,1,,,,,,locked,,,,,
modFunctionReturns,fkModuleName,VARCHAR(255),,0,modules,pkModuleName,CASCADE,CASCADE,,foreignKey,,,,,
modFunctionReturns,functionReturnName,VARCHAR(255),,0,,,,,,text,,,,,
modFunctionReturns,functionReturnClass,VARCHAR(255),,0,,,,,,text,,,,,
modFunctionReturns,description,TEXT,,0,,,,,,longtext,,,,,
appStitching,pkStitchID,INTEGER,,1,,,,,,locked,,,,,
appStitching,fkAppName,VARCHAR(255),,0,apps,pkAppName,CASCADE,CASCADE,,foreignKey,,,,,
appStitching,fkInstanceID,INTEGER,,0,tabModules,pkInstanceID,CASCADE,CASCADE,,foreignKey,,,,,
appStitching,fkModArgID,INTEGER,,0,modFunctionArguments,pkModArgID,CASCADE,CASCADE,,foreignKey,,,,,
appStitching,fkModReturnID,INTEGER,,0,modFunctionReturns,pkModReturnID,CASCADE,CASCADE,,foreignKey,,,,,
appStitching,fkStitchID,INTEGER,,0,appStitching,pkStitchID,CASCADE,CASCADE,,foreignKey,,,,,
